option_type,strike,bid,ask,last,market_iv,volume,open_interest
call,170.0,25.64,26.69,26.09,0.2299,134,2993
call,175.0,21.04,21.9,21.59,0.2263,348,4268
call,180.0,16.68,17.36,17.08,0.2236,745,5631
call,185.0,12.7,13.22,13.11,0.2216,1292,6867
call,190.0,9.25,9.62,9.4,0.2204,1799,7736
call,195.0,6.42,6.68,6.57,0.22,2010,8050
call,200.0,4.24,4.42,4.34,0.2204,1799,7736
call,205.0,2.68,2.79,2.73,0.2216,1292,6867
call,210.0,1.64,1.7,1.66,0.2236,745,5631
call,215.0,0.96,1.01,0.99,0.2263,348,4268
call,220.0,0.55,0.6,0.57,0.2299,134,2993
put,170.0,0.2,0.25,0.24,0.2299,134,2993
put,175.0,0.48,0.53,0.51,0.2263,348,4268
put,180.0,1.0,1.05,1.04,0.2236,745,5631
put,185.0,1.9,1.98,1.98,0.2216,1292,6867
put,190.0,3.32,3.45,3.35,0.2204,1799,7736
put,195.0,5.36,5.58,5.41,0.22,2010,8050
put,200.0,8.06,8.39,8.27,0.2204,1799,7736
put,205.0,11.37,11.84,11.64,0.2216,1292,6867
put,210.0,15.2,15.82,15.68,0.2236,745,5631
put,215.0,19.4,20.2,19.74,0.2263,348,4268
put,220.0,23.87,24.85,24.36,0.2299,134,2993
